Package_ID,Applicant_Name,Tax_ID_Extracted,Tax_ID_Siebel,Asset_Class,Equipment_Make,Equipment_Model,Invoice_Amount,Approved_Limit,Extraction_Confidence,Validation_Status,HITL_Routing_Required,Discrepancy_Reason,Dataset_Split,Override_Permitted
PKG-10001,Pioneer Excavation,13-5614226,13-5614226,Medical,GE Healthcare,Revolution CT,"$191,861.38","$206,400.00",97.18%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10002,Liberty Commercial Laundries,21-8078673,21-8078673,Heavy Equipment,Caterpillar,320 Excavator,"$95,928.19","$106,300.00",96.21%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10003,Benchmark Builders,35-8038374,35-8038374,Medical,Siemens Healthineers,Somatom Go.Now CT,"$326,779.71","$409,200.00",92.05%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10004,Midwest Agro Solutions,99-8090293,99-8090293,IT Hardware,Cisco Systems,Catalyst 9300 Switch Stack,"$24,328.77","$31,400.00",94.36%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10005,Precision Manufacturing Corp.,58-2622631,58-2622631,IT Hardware,Cisco Systems,Catalyst 9300 Switch Stack,"$51,223.56","$64,100.00",97.11%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10006,Liberty Commercial Laundries,25-7350753,25-7350753,Heavy Equipment,Bobcat,T76 Compact Track Loader,"$129,840.31","$156,700.00",98.20%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10007,Omni Packaging Solutions,83-4226067,83-4226067,Commercial Printing,Heidelberg,Speedmaster XL 75,"$57,790.15","$64,000.00",94.03%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10008,Precision Manufacturing Corp.,39-2694522,39-2694522,Agriculture,Case IH,Puma 150 Tractor,"$163,352.58","$205,600.00",93.14%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10009,Tri-State Cranes,36-5479144,36-5479144,Commercial Printing,Komori,Lithrone G40,"$160,166.02","$192,600.00",93.20%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10010,Beacon Dental Care,30-8755439,30-8755439,Agriculture,Case IH,Puma 150 Tractor,"$297,380.84","$359,800.00",95.90%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10011,Nova Tech Labs,17-4842788,17-4842788,Heavy Equipment,Komatsu,PC210 Excavator,"$148,198.01","$158,100.00",98.39%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10012,Matrix Data Centers,50-4567281,50-4567281,Commercial Printing,Canon,imagePRESS C10010VP,"$117,257.42","$149,900.00",95.21%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10013,Vanguard Metalworks,27-5137722,27-5137722,Commercial Printing,Xerox,Iridesse Production Press,"$141,626.14","$175,200.00",95.00%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
